,Step_Time,Vechile_Data
1,17:59:05,2
2,17:59:07,1
3,17:59:08,1
5,17:59:09,2
7,17:59:10,2
8,17:59:11,1
10,17:59:12,1
11,17:59:13,1
13,18:00:27,2
15,18:00:28,2
17,18:00:29,2
19,18:00:30,2
20,18:00:31,1
22,18:00:33,1
23,18:00:34,1
24,18:00:36,1
25,18:00:37,1
27,18:00:38,2
28,18:00:39,1
30,18:00:40,2
31,18:00:41,1
33,18:00:42,1
34,18:00:51,1
35,18:00:53,1
36,18:00:55,1
37,18:02:20,1
39,18:02:21,2
41,18:02:22,2
42,18:02:23,1
44,18:02:24,1
46,18:02:25,2
48,18:02:26,2
49,18:02:27,1
50,18:02:33,1
53,18:02:34,2
55,18:02:35,1
56,18:02:36,1
57,18:02:37,1
58,18:02:38,1
60,18:02:39,2
61,18:03:56,1
64,18:03:57,2
65,18:03:58,1
67,18:03:59,2
68,18:04:00,1
69,18:05:35,1
72,18:05:36,2
74,18:05:37,2
76,18:05:38,1
78,18:05:39,2
80,18:05:40,2
82,18:05:41,2
84,18:05:42,2
86,18:05:43,2
87,18:05:44,1
88,18:05:45,1
89,18:05:46,1
91,18:05:47,2
92,18:05:48,1
93,18:05:49,1
94,18:05:51,1
95,18:05:52,1
96,18:05:53,1
98,18:05:55,1
99,18:05:56,1
100,18:07:10,1
103,18:07:11,2
106,18:07:12,2
108,18:07:13,2
109,18:07:14,1
111,18:07:15,2
112,18:07:16,1
113,18:07:17,1
115,18:07:18,2
116,18:07:25,1
117,18:07:28,1
118,18:07:33,1
119,18:08:50,1
120,18:08:51,1
123,18:08:53,2
125,18:08:54,2
127,18:08:55,2
128,18:08:56,1
129,18:08:57,1
130,18:09:00,1
131,18:09:01,1
132,18:10:28,1
135,18:10:29,2
137,18:10:30,2
139,18:10:31,2
141,18:10:32,1
142,18:10:34,1
143,18:10:36,1
144,18:10:37,1
145,18:10:38,1
147,18:10:45,2
148,18:10:47,1
149,18:10:48,1
150,18:10:52,1
151,18:11:58,1
153,18:11:59,1
154,18:12:00,1
155,18:12:01,1
157,18:12:02,2
159,18:12:03,2
160,18:12:04,1
161,18:12:05,1
162,18:12:06,1
163,18:12:13,1
165,18:12:16,1
167,18:13:40,2
169,18:13:41,2
171,18:13:42,2
172,18:13:43,1
173,18:13:44,1
174,18:13:45,1
175,18:13:48,1
